Categorie,AAG_Pret,AAG_Var_Procent,ALR_Pret,ALR_Var_Procent,ALT_Pret,ALT_Var_Procent,ALU_Pret,ALU_Var_Procent,AQ_Pret,AQ_Var_Procent,ARM_Pret,ARM_Var_Procent,AROBS_Pret,AROBS_Var_Procent,ARS_Pret,ARS_Var_Procent,ARTE_Pret,ARTE_Var_Procent,ATB_Pret,ATB_Var_Procent,BCM_Pret,BCM_Var_Procent,BIO_Pret,BIO_Var_Procent,BNET_Pret,BNET_Var_Procent,BRD_Pret,BRD_Var_Procent,BRK_Pret,BRK_Var_Procent,BRM_Pret,BRM_Var_Procent,BVB_Pret,BVB_Var_Procent,CAOR_Pret,CAOR_Var_Procent,CBC_Pret,CBC_Var_Procent,CMCM_Pret,CMCM_Var_Procent,CMF_Pret,CMF_Var_Procent,CMP_Pret,CMP_Var_Procent,CNTE_Pret,CNTE_Var_Procent,COMI_Pret,COMI_Var_Procent,COTE_Pret,COTE_Var_Procent,CRC_Pret,CRC_Var_Procent,DIGI_Pret,DIGI_Var_Procent,EBS_Pret,EBS_Var_Procent,ECT_Pret,ECT_Var_Procent,EFO_Pret,EFO_Var_Procent,EL_Pret,EL_Var_Procent,ELGS_Pret,ELGS_Var_Procent,ELJ_Pret,ELJ_Var_Procent,ELMA_Pret,ELMA_Var_Procent,ENP_Pret,ENP_Var_Procent,EVER_Pret,EVER_Var_Procent,FP_Pret,FP_Var_Procent,GREEN_Pret,GREEN_Var_Procent,H2O_Pret,H2O_Var_Procent,IARV_Pret,IARV_Var_Procent,IMP_Pret,IMP_Var_Procent,INFINITY_Pret,INFINITY_Var_Procent,LION_Pret,LION_Var_Procent,LONG_Pret,LONG_Var_Procent,M_Pret,M_Var_Procent,MCAB_Pret,MCAB_Var_Procent,MECE_Pret,MECE_Var_Procent,MECF_Pret,MECF_Var_Procent,NAPO_Pret,NAPO_Var_Procent,OIL_Pret,OIL_Var_Procent,ONE_Pret,ONE_Var_Procent,PBK_Pret,PBK_Var_Procent,PE_Pret,PE_Var_Procent,PPL_Pret,PPL_Var_Procent,PREB_Pret,PREB_Var_Procent,PREH_Pret,PREH_Var_Procent,PTR_Pret,PTR_Var_Procent,RMAH_Pret,RMAH_Var_Procent,ROC1_Pret,ROC1_Var_Procent,ROCE_Pret,ROCE_Var_Procent,RPH_Pret,RPH_Var_Procent,RRC_Pret,RRC_Var_Procent,SAFE_Pret,SAFE_Var_Procent,SFG_Pret,SFG_Var_Procent,SMTL_Pret,SMTL_Var_Procent,SNG_Pret,SNG_Var_Procent,SNN_Pret,SNN_Var_Procent,SNO_Pret,SNO_Var_Procent,SNP_Pret,SNP_Var_Procent,SOCP_Pret,SOCP_Var_Procent,STZ_Pret,STZ_Var_Procent,TBK_Pret,TBK_Var_Procent,TBM_Pret,TBM_Var_Procent,TEL_Pret,TEL_Var_Procent,TGN_Pret,TGN_Var_Procent,TLV_Pret,TLV_Var_Procent,TRANSI_Pret,TRANSI_Var_Procent,TRP_Pret,TRP_Var_Procent,TTS_Pret,TTS_Var_Procent,TUFE_Pret,TUFE_Var_Procent,UAM_Pret,UAM_Var_Procent,UZT_Pret,UZT_Var_Procent,VESY_Pret,VESY_Var_Procent,VNC_Pret,VNC_Var_Procent,WINE_Pret,WINE_Var_Procent
Energie si Utilitati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.6,-0.51,,,,,,,,,,,16.8,0.12,,,,,,,0.945,-0.53,,,,,,,123.0,-0.08,,,,,,,,,,,,,,,,,,,,,0.12,0.42,,,,,20.95,0.24,,,,,,,,,,,,,,,,,0.0696,-0.57,,,,,,,7.5,2.74,44.75,0.56,,,0.7675,-0.2,,,,,,,,,58.9,1.03,37.95,5.42,,,,,,,,,,,,,,,,,,,,
"Industrie, Constructii si Materiale",5.6,0.0,1.755,-0.57,0.081,10.96,2.71,-0.37,,,0.14,2.19,,,9.0,-1.32,12.3,-6.11,,,,,,,,,,,,,,,,,,,34.0,-2.3,0.323,5.56,4.0,0.5,0.564,6.42,41.6,11.83,0.0185,-2.63,,,9.5,-0.42,,,,,,,,,,,0.142,0.0,0.147,-14.04,0.226,0.0,,,,,,,12.68,0.32,,,14.05,0.0,0.214,3.38,,,,,,,,,0.0418,-1.88,16.9,1.2,0.109,0.0,2.62,-14.94,,,21.65,0.46,,,,,5.9,0.0,2.12,-0.47,2.78,0.0,0.624,-0.95,,,0.758,6.76,0.135,-1.82,,,,,,,,,,,,,,,7.4,0.0,,,1.5,-2.6,0.8,-1.23,,,0.437,-0.46,,,,,,,,,0.562,1.81,,,,,0.384,-4.0,1.26,0.0,0.0505,-14.41,0.12,3.45,,
Sector Financiar si Investitii,,,,,,,,,,,,,,,,,,,,,,,,,,,19.38,0.41,0.0834,-1.65,,,38.1,0.53,,,,,,,,,,,,,,,,,,,81.5,0.99,380.6,0.0,,,,,,,,,,,,,,,1.52,0.66,0.3795,0.26,,,,,,,,,2.53,1.61,2.74,0.0,1.69,-0.59,,,,,,,,,,,,,,,0.084,1.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.3,-0.69,,,,,,,28.22,3.9,0.373,-0.53,,,,,,,,,,,,,,,,
"Servicii, Tehnologie si Bunuri de Consum",,,,,,,,,1.44,0.84,,,0.658,-0.3,,,,,2.47,0.0,0.16,-0.62,0.88,-1.79,0.129,-0.77,,,,,2.5,-3.85,,,2.08,0.0,,,,,,,,,,,,,,,,,,,,,0.0515,0.0,0.438,-2.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.99,1.01,,,,,,,,,,,,,,,,,,,,,,,,,0.742,-1.07,,,,,0.167,-0.6,,,0.844,-0.24,38.45,-0.39,51.6,2.58,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2,0.97,0.432,0.0,,,,,,,,,20.8,0.24
