Categorie,AAG_Pret,AAG_Var_Procent,ALR_Pret,ALR_Var_Procent,ALT_Pret,ALT_Var_Procent,ALU_Pret,ALU_Var_Procent,AQ_Pret,AQ_Var_Procent,ARM_Pret,ARM_Var_Procent,AROBS_Pret,AROBS_Var_Procent,ARS_Pret,ARS_Var_Procent,ARTE_Pret,ARTE_Var_Procent,ATB_Pret,ATB_Var_Procent,BCM_Pret,BCM_Var_Procent,BIO_Pret,BIO_Var_Procent,BNET_Pret,BNET_Var_Procent,BRD_Pret,BRD_Var_Procent,BRK_Pret,BRK_Var_Procent,BRM_Pret,BRM_Var_Procent,BVB_Pret,BVB_Var_Procent,CAOR_Pret,CAOR_Var_Procent,CBC_Pret,CBC_Var_Procent,CMCM_Pret,CMCM_Var_Procent,CMF_Pret,CMF_Var_Procent,CMP_Pret,CMP_Var_Procent,CNTE_Pret,CNTE_Var_Procent,COMI_Pret,COMI_Var_Procent,COTE_Pret,COTE_Var_Procent,CRC_Pret,CRC_Var_Procent,DIGI_Pret,DIGI_Var_Procent,EBS_Pret,EBS_Var_Procent,ECT_Pret,ECT_Var_Procent,EFO_Pret,EFO_Var_Procent,EL_Pret,EL_Var_Procent,ELGS_Pret,ELGS_Var_Procent,ELJ_Pret,ELJ_Var_Procent,ELMA_Pret,ELMA_Var_Procent,ENP_Pret,ENP_Var_Procent,EVER_Pret,EVER_Var_Procent,FP_Pret,FP_Var_Procent,GREEN_Pret,GREEN_Var_Procent,H2O_Pret,H2O_Var_Procent,IARV_Pret,IARV_Var_Procent,IMP_Pret,IMP_Var_Procent,INFINITY_Pret,INFINITY_Var_Procent,LION_Pret,LION_Var_Procent,LONG_Pret,LONG_Var_Procent,M_Pret,M_Var_Procent,MCAB_Pret,MCAB_Var_Procent,MECE_Pret,MECE_Var_Procent,MECF_Pret,MECF_Var_Procent,NAPO_Pret,NAPO_Var_Procent,OIL_Pret,OIL_Var_Procent,ONE_Pret,ONE_Var_Procent,PBK_Pret,PBK_Var_Procent,PE_Pret,PE_Var_Procent,PPL_Pret,PPL_Var_Procent,PREB_Pret,PREB_Var_Procent,PREH_Pret,PREH_Var_Procent,PTR_Pret,PTR_Var_Procent,RMAH_Pret,RMAH_Var_Procent,ROC1_Pret,ROC1_Var_Procent,ROCE_Pret,ROCE_Var_Procent,RPH_Pret,RPH_Var_Procent,RRC_Pret,RRC_Var_Procent,SAFE_Pret,SAFE_Var_Procent,SFG_Pret,SFG_Var_Procent,SMTL_Pret,SMTL_Var_Procent,SNG_Pret,SNG_Var_Procent,SNN_Pret,SNN_Var_Procent,SNO_Pret,SNO_Var_Procent,SNP_Pret,SNP_Var_Procent,SOCP_Pret,SOCP_Var_Procent,STZ_Pret,STZ_Var_Procent,TBK_Pret,TBK_Var_Procent,TBM_Pret,TBM_Var_Procent,TEL_Pret,TEL_Var_Procent,TGN_Pret,TGN_Var_Procent,TLV_Pret,TLV_Var_Procent,TRANSI_Pret,TRANSI_Var_Procent,TRP_Pret,TRP_Var_Procent,TTS_Pret,TTS_Var_Procent,TUFE_Pret,TUFE_Var_Procent,UAM_Pret,UAM_Var_Procent,UZT_Pret,UZT_Var_Procent,VESY_Pret,VESY_Var_Procent,VNC_Pret,VNC_Var_Procent,WINE_Pret,WINE_Var_Procent
Energie si Utilitati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.0,0.25,,,,,,,,,,,15.98,0.88,,,,,,,0.945,-0.53,,,,,,,122.6,-0.08,,,,,,,,,,,,,,,,,,,,,0.1195,-0.42,,,,,20.65,0.98,,,,,,,,,,,,,,,,,0.07,0.29,,,,,,,7.08,1.14,43.8,1.04,,,0.766,-0.39,,,,,,,,,58.5,1.56,36.0,0.98,,,,,,,,,,,,,,,,,,,,
"Industrie, Constructii si Materiale",5.52,0.36,1.77,2.91,0.073,-6.41,2.7,0.37,,,0.128,-0.78,,,9.1,1.79,13.3,3.1,,,,,,,,,,,,,,,,,,,35.0,2.94,0.323,5.21,3.9,0.52,0.5,2.25,41.6,11.83,0.019,0.0,,,9.14,1.56,,,,,,,,,,,0.142,0.0,0.153,0.66,0.228,4.59,,,,,,,13.0,-7.01,,,14.0,0.0,0.195,-0.26,,,,,,,,,0.043,5.91,16.7,0.0,0.109,0.0,2.62,-14.94,,,21.5,0.0,,,,,5.95,9.17,2.1,-0.94,2.78,-0.71,0.622,0.0,,,0.678,0.0,0.1355,0.37,,,,,,,,,,,,,,,7.4,-0.67,,,1.545,0.0,0.79,0.64,,,0.429,0.0,,,,,,,,,0.532,6.61,,,,,0.4,3.63,1.26,0.0,0.0505,-14.41,0.116,1.31,,
Sector Financiar si Investitii,,,,,,,,,,,,,,,,,,,,,,,,,,,19.06,0.11,0.084,0.0,,,37.9,2.43,,,,,,,,,,,,,,,,,,,78.1,2.09,380.6,1.49,,,,,,,,,,,,,,,1.495,-0.33,0.3785,-0.39,,,,,,,,,2.5,0.4,2.78,2.96,1.69,0.3,,,,,,,,,,,,,,,0.0825,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.4,1.77,,,,,,,32.28,1.32,0.375,0.27,,,,,,,,,,,,,,,,
"Servicii, Tehnologie si Bunuri de Consum",,,,,,,,,1.41,0.28,,,0.627,2.12,,,,,2.45,0.2,0.161,0.63,0.886,0.91,0.1275,-2.67,,,,,2.52,-3.08,,,2.08,0.0,,,,,,,,,,,,,,,,,,,,,0.0515,-0.96,0.446,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.82,1.04,,,,,,,,,,,,,,,,,,,,,,,,,0.742,0.0,,,,,0.165,-2.37,,,0.832,0.73,38.4,1.32,50.9,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,4.65,2.65,0.402,-2.43,,,,,,,,,20.75,0.24
