Categorie,AAG_Pret,AAG_Var_Procent,ALR_Pret,ALR_Var_Procent,ALT_Pret,ALT_Var_Procent,ALU_Pret,ALU_Var_Procent,AQ_Pret,AQ_Var_Procent,ARM_Pret,ARM_Var_Procent,AROBS_Pret,AROBS_Var_Procent,ARS_Pret,ARS_Var_Procent,ARTE_Pret,ARTE_Var_Procent,ATB_Pret,ATB_Var_Procent,BCM_Pret,BCM_Var_Procent,BIO_Pret,BIO_Var_Procent,BNET_Pret,BNET_Var_Procent,BRD_Pret,BRD_Var_Procent,BRK_Pret,BRK_Var_Procent,BRM_Pret,BRM_Var_Procent,BVB_Pret,BVB_Var_Procent,CAOR_Pret,CAOR_Var_Procent,CBC_Pret,CBC_Var_Procent,CMCM_Pret,CMCM_Var_Procent,CMF_Pret,CMF_Var_Procent,CMP_Pret,CMP_Var_Procent,CNTE_Pret,CNTE_Var_Procent,COMI_Pret,COMI_Var_Procent,COTE_Pret,COTE_Var_Procent,CRC_Pret,CRC_Var_Procent,DIGI_Pret,DIGI_Var_Procent,EBS_Pret,EBS_Var_Procent,ECT_Pret,ECT_Var_Procent,EFO_Pret,EFO_Var_Procent,EL_Pret,EL_Var_Procent,ELGS_Pret,ELGS_Var_Procent,ELJ_Pret,ELJ_Var_Procent,ELMA_Pret,ELMA_Var_Procent,ENP_Pret,ENP_Var_Procent,EVER_Pret,EVER_Var_Procent,FP_Pret,FP_Var_Procent,GREEN_Pret,GREEN_Var_Procent,H2O_Pret,H2O_Var_Procent,IARV_Pret,IARV_Var_Procent,IMP_Pret,IMP_Var_Procent,INFINITY_Pret,INFINITY_Var_Procent,LION_Pret,LION_Var_Procent,LONG_Pret,LONG_Var_Procent,M_Pret,M_Var_Procent,MCAB_Pret,MCAB_Var_Procent,MECE_Pret,MECE_Var_Procent,MECF_Pret,MECF_Var_Procent,NAPO_Pret,NAPO_Var_Procent,OIL_Pret,OIL_Var_Procent,ONE_Pret,ONE_Var_Procent,PBK_Pret,PBK_Var_Procent,PE_Pret,PE_Var_Procent,PPL_Pret,PPL_Var_Procent,PREB_Pret,PREB_Var_Procent,PREH_Pret,PREH_Var_Procent,PTR_Pret,PTR_Var_Procent,RMAH_Pret,RMAH_Var_Procent,ROC1_Pret,ROC1_Var_Procent,ROCE_Pret,ROCE_Var_Procent,RPH_Pret,RPH_Var_Procent,RRC_Pret,RRC_Var_Procent,SAFE_Pret,SAFE_Var_Procent,SFG_Pret,SFG_Var_Procent,SMTL_Pret,SMTL_Var_Procent,SNG_Pret,SNG_Var_Procent,SNN_Pret,SNN_Var_Procent,SNO_Pret,SNO_Var_Procent,SNP_Pret,SNP_Var_Procent,SOCP_Pret,SOCP_Var_Procent,STZ_Pret,STZ_Var_Procent,TBK_Pret,TBK_Var_Procent,TBM_Pret,TBM_Var_Procent,TEL_Pret,TEL_Var_Procent,TGN_Pret,TGN_Var_Procent,TLV_Pret,TLV_Var_Procent,TRANSI_Pret,TRANSI_Var_Procent,TRP_Pret,TRP_Var_Procent,TTS_Pret,TTS_Var_Procent,TUFE_Pret,TUFE_Var_Procent,UAM_Pret,UAM_Var_Procent,UZT_Pret,UZT_Var_Procent,VESY_Pret,VESY_Var_Procent,VNC_Pret,VNC_Var_Procent,WINE_Pret,WINE_Var_Procent
Energie si Utilitati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.4,1.5,,,,,,,,,,,17.62,-0.45,,,,,,,0.935,-1.06,,,,,,,124.2,0.24,,,,,,,,,,,,,,,,,,,,,0.118,-0.84,,,,,20.8,0.0,,,,,,,,,,,,,,,,,0.0696,-0.57,,,,,,,8.0,0.0,46.65,1.19,,,0.81,1.63,,,,,,,,,60.3,0.17,41.9,0.48,,,,,,,,,,,,,,,,,,,,
"Industrie, Constructii si Materiale",5.5,-0.72,1.7,-1.16,0.08,0.0,2.62,-2.6,,,0.125,-14.38,,,8.98,0.0,11.5,-4.17,,,,,,,,,,,,,,,,,,,33.8,2.42,0.322,0.0,3.92,0.0,0.59,4.98,41.6,11.83,0.0185,0.0,,,9.02,-1.31,,,,,,,,,,,0.212,-0.93,0.17,0.0,0.224,-3.45,,,,,,,14.0,0.0,,,14.2,-0.35,0.22,1.85,,,,,,,,,0.0348,0.0,17.6,0.0,0.109,0.93,2.62,0.0,,,25.8,3.41,,,,,6.6,0.0,2.11,0.0,2.9,5.84,0.6,0.33,,,0.75,-2.34,0.139,2.21,,,,,,,,,,,,,,,9.0,1.12,,,1.68,1.82,0.845,1.2,,,0.434,0.23,,,,,,,,,0.58,0.35,,,,,0.398,0.0,1.26,0.0,0.0505,-14.41,0.119,-0.42,,
Sector Financiar si Investitii,,,,,,,,,,,,,,,,,,,,,,,,,,,19.8,-0.2,0.0804,-1.71,,,43.4,0.23,,,,,,,,,,,,,,,,,,,84.8,0.71,419.8,0.86,,,,,,,,,,,,,,,1.59,0.63,0.423,0.48,,,,,,,,,2.59,-0.77,2.78,-1.42,1.64,-2.67,,,,,,,,,,,,,,,0.101,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.05,1.44,,,,,,,28.04,0.5,0.406,2.27,,,,,,,,,,,,,,,,
"Servicii, Tehnologie si Bunuri de Consum",,,,,,,,,1.46,0.97,,,0.641,1.91,,,,,2.63,0.57,0.162,0.0,0.884,-0.23,0.11,-0.9,,,,,2.58,0.0,,,2.02,-9.82,,,,,,,,,,,,,,,,,,,,,0.05,0.0,0.478,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.27,-0.24,,,,,,,,,,,,,,,,,,,,,,,,,0.778,-0.77,,,,,0.174,0.0,,,0.894,0.45,39.8,2.58,54.4,5.63,,,,,,,,,,,,,,,,,,,,,,,,,,,5.11,5.47,0.41,-3.76,,,,,,,,,20.35,0.0
