Categorie,AAG_Pret,AAG_Var_Procent,ALR_Pret,ALR_Var_Procent,ALT_Pret,ALT_Var_Procent,ALU_Pret,ALU_Var_Procent,AQ_Pret,AQ_Var_Procent,ARM_Pret,ARM_Var_Procent,AROBS_Pret,AROBS_Var_Procent,ARS_Pret,ARS_Var_Procent,ARTE_Pret,ARTE_Var_Procent,ATB_Pret,ATB_Var_Procent,BCM_Pret,BCM_Var_Procent,BIO_Pret,BIO_Var_Procent,BNET_Pret,BNET_Var_Procent,BRD_Pret,BRD_Var_Procent,BRK_Pret,BRK_Var_Procent,BRM_Pret,BRM_Var_Procent,BVB_Pret,BVB_Var_Procent,CAOR_Pret,CAOR_Var_Procent,CBC_Pret,CBC_Var_Procent,CMCM_Pret,CMCM_Var_Procent,CMF_Pret,CMF_Var_Procent,CMP_Pret,CMP_Var_Procent,CNTE_Pret,CNTE_Var_Procent,COMI_Pret,COMI_Var_Procent,COTE_Pret,COTE_Var_Procent,CRC_Pret,CRC_Var_Procent,DIGI_Pret,DIGI_Var_Procent,EBS_Pret,EBS_Var_Procent,ECT_Pret,ECT_Var_Procent,EFO_Pret,EFO_Var_Procent,EL_Pret,EL_Var_Procent,ELGS_Pret,ELGS_Var_Procent,ELJ_Pret,ELJ_Var_Procent,ELMA_Pret,ELMA_Var_Procent,ENP_Pret,ENP_Var_Procent,EVER_Pret,EVER_Var_Procent,FP_Pret,FP_Var_Procent,GREEN_Pret,GREEN_Var_Procent,H2O_Pret,H2O_Var_Procent,IARV_Pret,IARV_Var_Procent,IMP_Pret,IMP_Var_Procent,INFINITY_Pret,INFINITY_Var_Procent,LION_Pret,LION_Var_Procent,LONG_Pret,LONG_Var_Procent,M_Pret,M_Var_Procent,MCAB_Pret,MCAB_Var_Procent,MECE_Pret,MECE_Var_Procent,MECF_Pret,MECF_Var_Procent,NAPO_Pret,NAPO_Var_Procent,OIL_Pret,OIL_Var_Procent,ONE_Pret,ONE_Var_Procent,PBK_Pret,PBK_Var_Procent,PE_Pret,PE_Var_Procent,PPL_Pret,PPL_Var_Procent,PREB_Pret,PREB_Var_Procent,PREH_Pret,PREH_Var_Procent,PTR_Pret,PTR_Var_Procent,RMAH_Pret,RMAH_Var_Procent,ROC1_Pret,ROC1_Var_Procent,ROCE_Pret,ROCE_Var_Procent,RPH_Pret,RPH_Var_Procent,RRC_Pret,RRC_Var_Procent,SAFE_Pret,SAFE_Var_Procent,SFG_Pret,SFG_Var_Procent,SMTL_Pret,SMTL_Var_Procent,SNG_Pret,SNG_Var_Procent,SNN_Pret,SNN_Var_Procent,SNO_Pret,SNO_Var_Procent,SNP_Pret,SNP_Var_Procent,SOCP_Pret,SOCP_Var_Procent,STZ_Pret,STZ_Var_Procent,TBK_Pret,TBK_Var_Procent,TBM_Pret,TBM_Var_Procent,TEL_Pret,TEL_Var_Procent,TGN_Pret,TGN_Var_Procent,TLV_Pret,TLV_Var_Procent,TRANSI_Pret,TRANSI_Var_Procent,TRP_Pret,TRP_Var_Procent,TTS_Pret,TTS_Var_Procent,TUFE_Pret,TUFE_Var_Procent,UAM_Pret,UAM_Var_Procent,UZT_Pret,UZT_Var_Procent,VESY_Pret,VESY_Var_Procent,VNC_Pret,VNC_Var_Procent,WINE_Pret,WINE_Var_Procent
Energie si Utilitati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,-0.25,,,,,,,,,,,17.6,0.0,,,,,,,0.945,-0.53,,,,,,,124.2,0.32,,,,,,,,,,,,,,,,,,,,,0.119,0.0,,,,,20.8,0.97,,,,,,,,,,,,,,,,,0.0698,0.0,,,,,,,8.0,0.5,46.0,1.1,,,0.7945,1.02,,,,,,,,,60.0,-0.17,41.9,1.58,,,,,,,,,,,,,,,,,,,,
"Industrie, Constructii si Materiale",5.54,0.0,1.725,-0.29,0.08,2.56,2.66,0.0,,,0.125,-14.38,,,8.9,-0.22,12.0,-1.64,,,,,,,,,,,,,,,,,,,33.2,-1.78,0.322,0.0,3.92,-2.0,0.552,0.0,41.6,11.83,0.018,-5.26,,,9.12,0.22,,,,,,,,,,,0.202,-12.17,0.179,4.68,0.22,-5.17,,,,,,,14.0,0.0,,,14.2,0.0,0.22,1.85,,,,,,,,,0.0348,2.96,16.8,-5.08,0.109,0.93,2.62,0.0,,,24.3,2.1,,,,,6.2,0.0,2.13,-0.47,2.7,0.0,0.596,0.34,,,0.788,2.34,0.136,-0.73,,,,,,,,,,,,,,,8.2,-1.2,,,1.63,0.0,0.83,1.22,,,0.437,0.0,,,,,,,,,0.582,5.05,,,,,0.384,-1.54,1.26,0.0,0.0505,-14.41,0.119,-0.42,,
Sector Financiar si Investitii,,,,,,,,,,,,,,,,,,,,,,,,,,,19.82,0.61,0.082,-0.97,,,43.1,1.41,,,,,,,,,,,,,,,,,,,84.0,0.48,412.0,-0.24,,,,,,,,,,,,,,,1.555,-0.64,0.42,0.48,,,,,,,,,2.58,-1.53,2.77,-2.12,1.67,0.0,,,,,,,,,,,,,,,0.101,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.85,0.0,,,,,,,28.0,1.16,0.403,1.77,,,,,,,,,,,,,,,,
"Servicii, Tehnologie si Bunuri de Consum",,,,,,,,,1.436,0.42,,,0.625,0.16,,,,,2.635,-0.75,0.162,0.0,0.88,-1.12,0.111,-3.06,,,,,2.58,0.0,,,2.28,0.0,,,,,,,,,,,,,,,,,,,,,0.05,0.0,0.48,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.27,1.97,,,,,,,,,,,,,,,,,,,,,,,,,0.778,0.52,,,,,0.174,-1.14,,,0.89,-0.22,38.6,-0.13,51.4,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,4.86,-0.51,0.408,2.0,,,,,,,,,20.5,0.49
