Categorie,AAG_Pret,AAG_Var_Procent,ALR_Pret,ALR_Var_Procent,ALT_Pret,ALT_Var_Procent,ALU_Pret,ALU_Var_Procent,AQ_Pret,AQ_Var_Procent,ARM_Pret,ARM_Var_Procent,AROBS_Pret,AROBS_Var_Procent,ARS_Pret,ARS_Var_Procent,ARTE_Pret,ARTE_Var_Procent,ATB_Pret,ATB_Var_Procent,BCM_Pret,BCM_Var_Procent,BIO_Pret,BIO_Var_Procent,BNET_Pret,BNET_Var_Procent,BRD_Pret,BRD_Var_Procent,BRK_Pret,BRK_Var_Procent,BRM_Pret,BRM_Var_Procent,BVB_Pret,BVB_Var_Procent,CAOR_Pret,CAOR_Var_Procent,CBC_Pret,CBC_Var_Procent,CMCM_Pret,CMCM_Var_Procent,CMF_Pret,CMF_Var_Procent,CMP_Pret,CMP_Var_Procent,CNTE_Pret,CNTE_Var_Procent,COMI_Pret,COMI_Var_Procent,COTE_Pret,COTE_Var_Procent,CRC_Pret,CRC_Var_Procent,DIGI_Pret,DIGI_Var_Procent,EBS_Pret,EBS_Var_Procent,ECT_Pret,ECT_Var_Procent,EFO_Pret,EFO_Var_Procent,EL_Pret,EL_Var_Procent,ELGS_Pret,ELGS_Var_Procent,ELJ_Pret,ELJ_Var_Procent,ELMA_Pret,ELMA_Var_Procent,ENP_Pret,ENP_Var_Procent,EVER_Pret,EVER_Var_Procent,FP_Pret,FP_Var_Procent,GREEN_Pret,GREEN_Var_Procent,H2O_Pret,H2O_Var_Procent,IARV_Pret,IARV_Var_Procent,IMP_Pret,IMP_Var_Procent,INFINITY_Pret,INFINITY_Var_Procent,LION_Pret,LION_Var_Procent,LONG_Pret,LONG_Var_Procent,M_Pret,M_Var_Procent,MCAB_Pret,MCAB_Var_Procent,MECE_Pret,MECE_Var_Procent,MECF_Pret,MECF_Var_Procent,NAPO_Pret,NAPO_Var_Procent,OIL_Pret,OIL_Var_Procent,ONE_Pret,ONE_Var_Procent,PBK_Pret,PBK_Var_Procent,PE_Pret,PE_Var_Procent,PPL_Pret,PPL_Var_Procent,PREB_Pret,PREB_Var_Procent,PREH_Pret,PREH_Var_Procent,PTR_Pret,PTR_Var_Procent,RMAH_Pret,RMAH_Var_Procent,ROC1_Pret,ROC1_Var_Procent,ROCE_Pret,ROCE_Var_Procent,RPH_Pret,RPH_Var_Procent,RRC_Pret,RRC_Var_Procent,SAFE_Pret,SAFE_Var_Procent,SFG_Pret,SFG_Var_Procent,SMTL_Pret,SMTL_Var_Procent,SNG_Pret,SNG_Var_Procent,SNN_Pret,SNN_Var_Procent,SNO_Pret,SNO_Var_Procent,SNP_Pret,SNP_Var_Procent,SOCP_Pret,SOCP_Var_Procent,STZ_Pret,STZ_Var_Procent,TBK_Pret,TBK_Var_Procent,TBM_Pret,TBM_Var_Procent,TEL_Pret,TEL_Var_Procent,TGN_Pret,TGN_Var_Procent,TLV_Pret,TLV_Var_Procent,TRANSI_Pret,TRANSI_Var_Procent,TRP_Pret,TRP_Var_Procent,TTS_Pret,TTS_Var_Procent,TUFE_Pret,TUFE_Var_Procent,UAM_Pret,UAM_Var_Procent,UZT_Pret,UZT_Var_Procent,VESY_Pret,VESY_Var_Procent,VNC_Pret,VNC_Var_Procent,WINE_Pret,WINE_Var_Procent
Energie si Utilitati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2,0.0,,,,,,,,,,,17.7,0.57,,,,,,,0.945,-0.53,,,,,,,124.1,0.24,,,,,,,,,,,,,,,,,,,,,0.1175,-1.26,,,,,20.8,0.97,,,,,,,,,,,,,,,,,0.07,0.29,,,,,,,8.02,0.75,45.95,0.99,,,0.7965,1.27,,,,,,,,,60.0,-0.17,41.85,1.45,,,,,,,,,,,,,,,,,,,,
"Industrie, Constructii si Materiale",5.54,0.0,1.7,-1.73,0.08,2.56,2.66,0.0,,,0.125,-14.38,,,8.98,0.67,12.0,-1.64,,,,,,,,,,,,,,,,,,,33.0,-2.37,0.322,0.0,3.92,-2.0,0.562,1.81,41.6,11.83,0.018,-5.26,,,9.16,0.66,,,,,,,,,,,0.214,-6.96,0.179,4.68,0.22,-5.17,,,,,,,14.0,0.0,,,14.25,0.35,0.22,1.85,,,,,,,,,0.0348,2.96,16.8,-5.08,0.109,0.93,2.62,0.0,,,24.25,1.89,,,,,6.2,0.0,2.1,-1.87,2.7,0.0,0.598,0.67,,,0.778,1.04,0.137,0.0,,,,,,,,,,,,,,,8.2,-1.2,,,1.63,0.0,0.83,1.22,,,0.431,-1.37,,,,,,,,,0.582,5.05,,,,,0.384,-1.54,1.26,0.0,0.0505,-14.41,0.119,-0.42,,
Sector Financiar si Investitii,,,,,,,,,,,,,,,,,,,,,,,,,,,19.7,0.0,0.081,-2.17,,,43.2,1.65,,,,,,,,,,,,,,,,,,,83.6,0.0,415.6,0.63,,,,,,,,,,,,,,,1.575,0.64,0.421,0.72,,,,,,,,,2.62,0.0,2.8,-1.06,1.625,-2.69,,,,,,,,,,,,,,,0.102,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,1.08,,,,,,,27.82,0.51,0.405,2.27,,,,,,,,,,,,,,,,
"Servicii, Tehnologie si Bunuri de Consum",,,,,,,,,1.436,0.42,,,0.626,0.32,,,,,2.645,-0.38,0.162,0.0,0.88,-1.12,0.112,-2.18,,,,,2.58,0.0,,,2.28,0.0,,,,,,,,,,,,,,,,,,,,,0.05,0.0,0.48,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,2.34,,,,,,,,,,,,,,,,,,,,,,,,,0.784,0.77,,,,,0.174,-1.14,,,0.89,-0.22,38.6,-0.13,51.0,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9,0.31,0.408,2.0,,,,,,,,,20.45,0.25
