Categorie,AAG_Pret,AAG_Var_Procent,ALR_Pret,ALR_Var_Procent,ALT_Pret,ALT_Var_Procent,ALU_Pret,ALU_Var_Procent,AQ_Pret,AQ_Var_Procent,ARM_Pret,ARM_Var_Procent,AROBS_Pret,AROBS_Var_Procent,ARS_Pret,ARS_Var_Procent,ARTE_Pret,ARTE_Var_Procent,ATB_Pret,ATB_Var_Procent,BCM_Pret,BCM_Var_Procent,BIO_Pret,BIO_Var_Procent,BNET_Pret,BNET_Var_Procent,BRD_Pret,BRD_Var_Procent,BRK_Pret,BRK_Var_Procent,BRM_Pret,BRM_Var_Procent,BVB_Pret,BVB_Var_Procent,CAOR_Pret,CAOR_Var_Procent,CBC_Pret,CBC_Var_Procent,CMCM_Pret,CMCM_Var_Procent,CMF_Pret,CMF_Var_Procent,CMP_Pret,CMP_Var_Procent,CNTE_Pret,CNTE_Var_Procent,COMI_Pret,COMI_Var_Procent,COTE_Pret,COTE_Var_Procent,CRC_Pret,CRC_Var_Procent,DIGI_Pret,DIGI_Var_Procent,EBS_Pret,EBS_Var_Procent,ECT_Pret,ECT_Var_Procent,EFO_Pret,EFO_Var_Procent,EL_Pret,EL_Var_Procent,ELGS_Pret,ELGS_Var_Procent,ELJ_Pret,ELJ_Var_Procent,ELMA_Pret,ELMA_Var_Procent,ENP_Pret,ENP_Var_Procent,EVER_Pret,EVER_Var_Procent,FP_Pret,FP_Var_Procent,GREEN_Pret,GREEN_Var_Procent,H2O_Pret,H2O_Var_Procent,IARV_Pret,IARV_Var_Procent,IMP_Pret,IMP_Var_Procent,INFINITY_Pret,INFINITY_Var_Procent,LION_Pret,LION_Var_Procent,LONG_Pret,LONG_Var_Procent,M_Pret,M_Var_Procent,MCAB_Pret,MCAB_Var_Procent,MECE_Pret,MECE_Var_Procent,MECF_Pret,MECF_Var_Procent,NAPO_Pret,NAPO_Var_Procent,OIL_Pret,OIL_Var_Procent,ONE_Pret,ONE_Var_Procent,PBK_Pret,PBK_Var_Procent,PE_Pret,PE_Var_Procent,PPL_Pret,PPL_Var_Procent,PREB_Pret,PREB_Var_Procent,PREH_Pret,PREH_Var_Procent,PTR_Pret,PTR_Var_Procent,RMAH_Pret,RMAH_Var_Procent,ROC1_Pret,ROC1_Var_Procent,ROCE_Pret,ROCE_Var_Procent,RPH_Pret,RPH_Var_Procent,RRC_Pret,RRC_Var_Procent,SAFE_Pret,SAFE_Var_Procent,SFG_Pret,SFG_Var_Procent,SMTL_Pret,SMTL_Var_Procent,SNG_Pret,SNG_Var_Procent,SNN_Pret,SNN_Var_Procent,SNO_Pret,SNO_Var_Procent,SNP_Pret,SNP_Var_Procent,SOCP_Pret,SOCP_Var_Procent,STZ_Pret,STZ_Var_Procent,TBK_Pret,TBK_Var_Procent,TBM_Pret,TBM_Var_Procent,TEL_Pret,TEL_Var_Procent,TGN_Pret,TGN_Var_Procent,TLV_Pret,TLV_Var_Procent,TRANSI_Pret,TRANSI_Var_Procent,TRP_Pret,TRP_Var_Procent,TTS_Pret,TTS_Var_Procent,TUFE_Pret,TUFE_Var_Procent,UAM_Pret,UAM_Var_Procent,UZT_Pret,UZT_Var_Procent,VESY_Pret,VESY_Var_Procent,VNC_Pret,VNC_Var_Procent,WINE_Pret,WINE_Var_Procent
Energie si Utilitati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.6,-0.51,,,,,,,,,,,16.88,0.6,,,,,,,0.945,-0.53,,,,,,,122.3,-0.65,,,,,,,,,,,,,,,,,,,,,0.1195,0.0,,,,,20.85,-0.24,,,,,,,,,,,,,,,,,0.0696,-0.57,,,,,,,7.52,3.01,44.8,0.67,,,0.77,0.13,,,,,,,,,58.5,0.34,38.0,5.56,,,,,,,,,,,,,,,,,,,,
"Industrie, Constructii si Materiale",5.6,1.45,1.74,-1.42,0.0785,7.53,2.72,0.74,,,0.117,-14.6,,,8.94,-1.97,13.1,0.0,,,,,,,,,,,,,,,,,,,34.8,0.0,0.306,-5.26,4.0,0.5,0.57,7.55,41.6,11.83,0.019,0.0,,,9.72,1.89,,,,,,,,,,,0.142,0.0,0.171,11.76,0.226,0.0,,,,,,,12.68,0.32,,,14.05,0.36,0.22,6.28,,,,,,,,,0.0434,1.88,16.7,0.0,0.109,0.0,2.62,-14.94,,,21.8,1.16,,,,,5.9,0.0,2.12,-0.47,2.78,0.0,0.614,-2.54,,,0.78,9.86,0.136,-1.09,,,,,,,,,,,,,,,7.4,0.0,,,1.5,-2.6,0.81,0.0,,,0.435,-0.91,,,,,,,,,0.576,4.35,,,,,0.384,-4.0,1.26,0.0,0.0505,-14.41,0.1135,-2.16,,
Sector Financiar si Investitii,,,,,,,,,,,,,,,,,,,,,,,,,,,19.46,0.83,0.0848,0.0,,,38.0,0.26,,,,,,,,,,,,,,,,,,,82.9,2.73,380.0,-0.16,,,,,,,,,,,,,,,1.51,0.67,0.3795,0.26,,,,,,,,,2.48,-0.4,2.71,-1.09,1.7,0.59,,,,,,,,,,,,,,,0.0825,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.4,0.0,,,,,,,28.26,4.05,0.38,1.33,,,,,,,,,,,,,,,,
"Servicii, Tehnologie si Bunuri de Consum",,,,,,,,,1.43,0.14,,,0.664,0.61,,,,,2.455,-0.61,0.155,-3.73,0.894,-0.22,0.13,0.0,,,,,2.5,-3.85,,,2.08,0.0,,,,,,,,,,,,,,,,,,,,,0.0515,0.0,0.446,-0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.97,0.72,,,,,,,,,,,,,,,,,,,,,,,,,0.746,-0.53,,,,,0.167,-0.6,,,0.85,0.47,38.3,-0.78,51.3,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,5.28,2.52,0.432,0.0,,,,,,,,,20.75,0.0
