Categorie,AAG_Pret,AAG_Var_Procent,ALR_Pret,ALR_Var_Procent,ALT_Pret,ALT_Var_Procent,ALU_Pret,ALU_Var_Procent,AQ_Pret,AQ_Var_Procent,ARM_Pret,ARM_Var_Procent,AROBS_Pret,AROBS_Var_Procent,ARS_Pret,ARS_Var_Procent,ARTE_Pret,ARTE_Var_Procent,ATB_Pret,ATB_Var_Procent,BCM_Pret,BCM_Var_Procent,BIO_Pret,BIO_Var_Procent,BNET_Pret,BNET_Var_Procent,BRD_Pret,BRD_Var_Procent,BRK_Pret,BRK_Var_Procent,BRM_Pret,BRM_Var_Procent,BVB_Pret,BVB_Var_Procent,CAOR_Pret,CAOR_Var_Procent,CBC_Pret,CBC_Var_Procent,CMCM_Pret,CMCM_Var_Procent,CMF_Pret,CMF_Var_Procent,CMP_Pret,CMP_Var_Procent,CNTE_Pret,CNTE_Var_Procent,COMI_Pret,COMI_Var_Procent,COTE_Pret,COTE_Var_Procent,CRC_Pret,CRC_Var_Procent,DIGI_Pret,DIGI_Var_Procent,EBS_Pret,EBS_Var_Procent,ECT_Pret,ECT_Var_Procent,EFO_Pret,EFO_Var_Procent,EL_Pret,EL_Var_Procent,ELGS_Pret,ELGS_Var_Procent,ELJ_Pret,ELJ_Var_Procent,ELMA_Pret,ELMA_Var_Procent,ENP_Pret,ENP_Var_Procent,EVER_Pret,EVER_Var_Procent,FP_Pret,FP_Var_Procent,GREEN_Pret,GREEN_Var_Procent,H2O_Pret,H2O_Var_Procent,IARV_Pret,IARV_Var_Procent,IMP_Pret,IMP_Var_Procent,INFINITY_Pret,INFINITY_Var_Procent,LION_Pret,LION_Var_Procent,LONG_Pret,LONG_Var_Procent,M_Pret,M_Var_Procent,MCAB_Pret,MCAB_Var_Procent,MECE_Pret,MECE_Var_Procent,MECF_Pret,MECF_Var_Procent,NAPO_Pret,NAPO_Var_Procent,OIL_Pret,OIL_Var_Procent,ONE_Pret,ONE_Var_Procent,PBK_Pret,PBK_Var_Procent,PE_Pret,PE_Var_Procent,PPL_Pret,PPL_Var_Procent,PREB_Pret,PREB_Var_Procent,PREH_Pret,PREH_Var_Procent,PTR_Pret,PTR_Var_Procent,RMAH_Pret,RMAH_Var_Procent,ROC1_Pret,ROC1_Var_Procent,ROCE_Pret,ROCE_Var_Procent,RPH_Pret,RPH_Var_Procent,RRC_Pret,RRC_Var_Procent,SAFE_Pret,SAFE_Var_Procent,SFG_Pret,SFG_Var_Procent,SMTL_Pret,SMTL_Var_Procent,SNG_Pret,SNG_Var_Procent,SNN_Pret,SNN_Var_Procent,SNO_Pret,SNO_Var_Procent,SNP_Pret,SNP_Var_Procent,SOCP_Pret,SOCP_Var_Procent,STZ_Pret,STZ_Var_Procent,TBK_Pret,TBK_Var_Procent,TBM_Pret,TBM_Var_Procent,TEL_Pret,TEL_Var_Procent,TGN_Pret,TGN_Var_Procent,TLV_Pret,TLV_Var_Procent,TRANSI_Pret,TRANSI_Var_Procent,TRP_Pret,TRP_Var_Procent,TTS_Pret,TTS_Var_Procent,TUFE_Pret,TUFE_Var_Procent,UAM_Pret,UAM_Var_Procent,UZT_Pret,UZT_Var_Procent,VESY_Pret,VESY_Var_Procent,VNC_Pret,VNC_Var_Procent,WINE_Pret,WINE_Var_Procent
Energie si Utilitati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.2,-1.01,,,,,,,,,,,17.08,7.02,,,,,,,0.945,-0.53,,,,,,,123.0,0.0,,,,,,,,,,,,,,,,,,,,,0.118,-1.67,,,,,20.7,0.0,,,,,,,,,,,,,,,,,0.07,0.0,,,,,,,7.14,0.85,44.6,1.83,,,0.77,0.85,,,,,,,,,58.3,-0.68,36.0,0.0,,,,,,,,,,,,,,,,,,,,
"Industrie, Constructii si Materiale",5.6,1.45,1.765,1.15,0.072,-1.37,2.71,0.37,,,0.137,7.03,,,9.12,0.22,13.2,-0.75,,,,,,,,,,,,,,,,,,,34.8,-0.57,0.323,5.21,4.0,2.56,0.52,4.0,41.6,11.83,0.019,0.0,,,9.5,3.94,,,,,,,,,,,0.142,0.0,0.171,11.76,0.226,0.89,,,,,,,13.0,-7.01,,,14.0,0.0,0.202,3.59,,,,,,,,,0.0432,0.47,16.7,0.0,0.109,0.0,2.62,-14.94,,,21.7,0.93,,,,,5.9,-0.84,2.14,0.0,2.78,0.0,0.632,1.61,,,0.708,-0.28,0.137,1.11,,,,,,,,,,,,,,,7.4,0.0,,,1.505,-2.59,0.8,0.0,,,0.434,1.17,,,,,,,,,0.548,3.4,,,,,0.4,3.63,1.26,0.0,0.0505,-14.41,0.1135,-1.73,,
Sector Financiar si Investitii,,,,,,,,,,,,,,,,,,,,,,,,,,,19.36,1.89,0.0846,0.71,,,38.2,1.06,,,,,,,,,,,,,,,,,,,80.4,2.55,380.6,1.22,,,,,,,,,,,,,,,1.495,-0.33,0.378,0.0,,,,,,,,,2.48,-1.2,2.7,-3.57,1.65,-2.37,,,,,,,,,,,,,,,0.0825,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,-2.78,,,,,,,32.22,-0.37,0.373,-0.53,,,,,,,,,,,,,,,,
"Servicii, Tehnologie si Bunuri de Consum",,,,,,,,,1.424,0.99,,,0.655,4.8,,,,,2.46,0.82,0.161,0.63,0.896,1.13,0.13,1.56,,,,,2.62,0.77,,,1.81,-12.98,,,,,,,,,,,,,,,,,,,,,0.0515,0.0,0.424,-7.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.91,1.17,,,,,,,,,,,,,,,,,,,,,,,,,0.748,0.54,,,,,0.163,-1.21,,,0.84,0.96,38.6,0.65,50.5,-0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,5.24,10.2,0.402,0.0,,,,,,,,,20.7,-0.48
