Categorie,AAG_Pret,AAG_Var_Procent,ALR_Pret,ALR_Var_Procent,ALT_Pret,ALT_Var_Procent,ALU_Pret,ALU_Var_Procent,AQ_Pret,AQ_Var_Procent,ARM_Pret,ARM_Var_Procent,AROBS_Pret,AROBS_Var_Procent,ARS_Pret,ARS_Var_Procent,ARTE_Pret,ARTE_Var_Procent,ATB_Pret,ATB_Var_Procent,BCM_Pret,BCM_Var_Procent,BIO_Pret,BIO_Var_Procent,BNET_Pret,BNET_Var_Procent,BRD_Pret,BRD_Var_Procent,BRK_Pret,BRK_Var_Procent,BRM_Pret,BRM_Var_Procent,BVB_Pret,BVB_Var_Procent,CAOR_Pret,CAOR_Var_Procent,CBC_Pret,CBC_Var_Procent,CMCM_Pret,CMCM_Var_Procent,CMF_Pret,CMF_Var_Procent,CMP_Pret,CMP_Var_Procent,CNTE_Pret,CNTE_Var_Procent,COMI_Pret,COMI_Var_Procent,COTE_Pret,COTE_Var_Procent,CRC_Pret,CRC_Var_Procent,DIGI_Pret,DIGI_Var_Procent,EBS_Pret,EBS_Var_Procent,ECT_Pret,ECT_Var_Procent,EFO_Pret,EFO_Var_Procent,EL_Pret,EL_Var_Procent,ELGS_Pret,ELGS_Var_Procent,ELJ_Pret,ELJ_Var_Procent,ELMA_Pret,ELMA_Var_Procent,ENP_Pret,ENP_Var_Procent,EVER_Pret,EVER_Var_Procent,FP_Pret,FP_Var_Procent,GREEN_Pret,GREEN_Var_Procent,H2O_Pret,H2O_Var_Procent,IARV_Pret,IARV_Var_Procent,IMP_Pret,IMP_Var_Procent,INFINITY_Pret,INFINITY_Var_Procent,LION_Pret,LION_Var_Procent,LONG_Pret,LONG_Var_Procent,M_Pret,M_Var_Procent,MCAB_Pret,MCAB_Var_Procent,MECE_Pret,MECE_Var_Procent,MECF_Pret,MECF_Var_Procent,NAPO_Pret,NAPO_Var_Procent,OIL_Pret,OIL_Var_Procent,ONE_Pret,ONE_Var_Procent,PBK_Pret,PBK_Var_Procent,PE_Pret,PE_Var_Procent,PPL_Pret,PPL_Var_Procent,PREB_Pret,PREB_Var_Procent,PREH_Pret,PREH_Var_Procent,PTR_Pret,PTR_Var_Procent,RMAH_Pret,RMAH_Var_Procent,ROC1_Pret,ROC1_Var_Procent,ROCE_Pret,ROCE_Var_Procent,RPH_Pret,RPH_Var_Procent,RRC_Pret,RRC_Var_Procent,SAFE_Pret,SAFE_Var_Procent,SFG_Pret,SFG_Var_Procent,SMTL_Pret,SMTL_Var_Procent,SNG_Pret,SNG_Var_Procent,SNN_Pret,SNN_Var_Procent,SNO_Pret,SNO_Var_Procent,SNP_Pret,SNP_Var_Procent,SOCP_Pret,SOCP_Var_Procent,STZ_Pret,STZ_Var_Procent,TBK_Pret,TBK_Var_Procent,TBM_Pret,TBM_Var_Procent,TEL_Pret,TEL_Var_Procent,TGN_Pret,TGN_Var_Procent,TLV_Pret,TLV_Var_Procent,TRANSI_Pret,TRANSI_Var_Procent,TRP_Pret,TRP_Var_Procent,TTS_Pret,TTS_Var_Procent,TUFE_Pret,TUFE_Var_Procent,UAM_Pret,UAM_Var_Procent,UZT_Pret,UZT_Var_Procent,VESY_Pret,VESY_Var_Procent,VNC_Pret,VNC_Var_Procent,WINE_Pret,WINE_Var_Procent
Energie si Utilitati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.6,0.0,,,,,,,,,,,16.7,-1.3,,,,,,,0.945,-0.53,,,,,,,123.0,0.0,,,,,,,,,,,,,,,,,,,,,0.1195,0.0,,,,,20.9,-1.42,,,,,,,,,,,,,,,,,0.07,0.0,,,,,,,7.64,2.14,44.7,-0.56,,,0.776,0.91,,,,,,,,,58.8,0.68,40.05,5.53,,,,,,,,,,,,,,,,,,,,
"Industrie, Constructii si Materiale",5.56,-0.71,1.735,-0.57,0.0745,2.05,2.71,-0.37,,,0.149,2.05,,,9.06,-0.22,11.5,-6.5,,,,,,,,,,,,,,,,,,,34.8,0.0,0.323,5.56,4.0,0.5,0.558,-5.42,41.6,11.83,0.0195,2.63,,,9.5,0.0,,,,,,,,,,,0.147,7.3,0.171,0.0,0.22,0.0,,,,,,,13.02,-6.73,,,14.1,0.0,0.218,-1.36,,,,,,,,,0.0414,3.5,16.9,1.2,0.109,0.0,2.62,-14.94,,,21.95,1.15,,,,,5.75,-0.86,2.11,-1.4,2.78,0.0,0.624,0.0,,,0.812,-0.49,0.1355,-1.45,,,,,,,,,,,,,,,7.45,0.68,,,1.51,-2.27,0.85,8.28,,,0.437,0.0,,,,,,,,,0.552,0.18,,,,,0.384,0.0,1.26,0.0,0.0505,-14.41,0.1235,1.23,,
Sector Financiar si Investitii,,,,,,,,,,,,,,,,,,,,,,,,,,,19.4,0.0,0.0832,0.0,,,38.3,0.79,,,,,,,,,,,,,,,,,,,83.0,2.34,388.0,1.57,,,,,,,,,,,,,,,1.51,-0.33,0.3775,0.13,,,,,,,,,2.52,0.0,2.79,0.72,1.645,-2.66,,,,,,,,,,,,,,,0.085,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.35,2.5,,,,,,,28.04,-0.85,0.373,0.0,,,,,,,,,,,,,,,,
"Servicii, Tehnologie si Bunuri de Consum",,,,,,,,,1.44,0.42,,,0.658,-0.45,,,,,2.48,-0.2,0.161,0.0,0.87,-0.91,0.132,1.15,,,,,2.6,0.0,,,2.08,0.0,,,,,,,,,,,,,,,,,,,,,0.0515,0.0,0.424,-3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.98,0.14,,,,,,,,,,,,,,,,,,,,,,,,,0.75,1.35,,,,,0.167,-0.6,,,0.842,-0.94,38.8,0.78,51.9,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,5.05,-3.26,0.432,0.0,,,,,,,,,20.85,0.0
