Categorie,AAG_Pret,AAG_Var_Procent,ALR_Pret,ALR_Var_Procent,ALT_Pret,ALT_Var_Procent,ALU_Pret,ALU_Var_Procent,AQ_Pret,AQ_Var_Procent,ARM_Pret,ARM_Var_Procent,AROBS_Pret,AROBS_Var_Procent,ARS_Pret,ARS_Var_Procent,ARTE_Pret,ARTE_Var_Procent,ATB_Pret,ATB_Var_Procent,BCM_Pret,BCM_Var_Procent,BIO_Pret,BIO_Var_Procent,BNET_Pret,BNET_Var_Procent,BRD_Pret,BRD_Var_Procent,BRK_Pret,BRK_Var_Procent,BRM_Pret,BRM_Var_Procent,BVB_Pret,BVB_Var_Procent,CAOR_Pret,CAOR_Var_Procent,CBC_Pret,CBC_Var_Procent,CMCM_Pret,CMCM_Var_Procent,CMF_Pret,CMF_Var_Procent,CMP_Pret,CMP_Var_Procent,CNTE_Pret,CNTE_Var_Procent,COMI_Pret,COMI_Var_Procent,COTE_Pret,COTE_Var_Procent,CRC_Pret,CRC_Var_Procent,DIGI_Pret,DIGI_Var_Procent,EBS_Pret,EBS_Var_Procent,ECT_Pret,ECT_Var_Procent,EFO_Pret,EFO_Var_Procent,EL_Pret,EL_Var_Procent,ELGS_Pret,ELGS_Var_Procent,ELJ_Pret,ELJ_Var_Procent,ELMA_Pret,ELMA_Var_Procent,ENP_Pret,ENP_Var_Procent,EVER_Pret,EVER_Var_Procent,FP_Pret,FP_Var_Procent,GREEN_Pret,GREEN_Var_Procent,H2O_Pret,H2O_Var_Procent,IARV_Pret,IARV_Var_Procent,IMP_Pret,IMP_Var_Procent,INFINITY_Pret,INFINITY_Var_Procent,LION_Pret,LION_Var_Procent,LONG_Pret,LONG_Var_Procent,M_Pret,M_Var_Procent,MCAB_Pret,MCAB_Var_Procent,MECE_Pret,MECE_Var_Procent,MECF_Pret,MECF_Var_Procent,NAPO_Pret,NAPO_Var_Procent,OIL_Pret,OIL_Var_Procent,ONE_Pret,ONE_Var_Procent,PBK_Pret,PBK_Var_Procent,PE_Pret,PE_Var_Procent,PPL_Pret,PPL_Var_Procent,PREB_Pret,PREB_Var_Procent,PREH_Pret,PREH_Var_Procent,PTR_Pret,PTR_Var_Procent,RMAH_Pret,RMAH_Var_Procent,ROC1_Pret,ROC1_Var_Procent,ROCE_Pret,ROCE_Var_Procent,RPH_Pret,RPH_Var_Procent,RRC_Pret,RRC_Var_Procent,SAFE_Pret,SAFE_Var_Procent,SFG_Pret,SFG_Var_Procent,SMTL_Pret,SMTL_Var_Procent,SNG_Pret,SNG_Var_Procent,SNN_Pret,SNN_Var_Procent,SNO_Pret,SNO_Var_Procent,SNP_Pret,SNP_Var_Procent,SOCP_Pret,SOCP_Var_Procent,STZ_Pret,STZ_Var_Procent,TBK_Pret,TBK_Var_Procent,TBM_Pret,TBM_Var_Procent,TEL_Pret,TEL_Var_Procent,TGN_Pret,TGN_Var_Procent,TLV_Pret,TLV_Var_Procent,TRANSI_Pret,TRANSI_Var_Procent,TRP_Pret,TRP_Var_Procent,TTS_Pret,TTS_Var_Procent,TUFE_Pret,TUFE_Var_Procent,UAM_Pret,UAM_Var_Procent,UZT_Pret,UZT_Var_Procent,VESY_Pret,VESY_Var_Procent,VNC_Pret,VNC_Var_Procent,WINE_Pret,WINE_Var_Procent
Energie si Utilitati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2,0.0,,,,,,,,,,,17.6,0.0,,,,,,,0.945,-0.53,,,,,,,124.3,0.4,,,,,,,,,,,,,,,,,,,,,0.119,0.0,,,,,20.65,0.24,,,,,,,,,,,,,,,,,0.0698,0.0,,,,,,,7.98,0.25,45.65,0.33,,,0.792,0.7,,,,,,,,,60.1,0.0,41.7,1.09,,,,,,,,,,,,,,,,,,,,
"Industrie, Constructii si Materiale",5.54,0.0,1.725,-0.29,0.08,2.56,2.66,0.0,,,0.125,-14.38,,,8.9,-0.22,12.0,-1.64,,,,,,,,,,,,,,,,,,,34.2,1.18,0.322,0.0,4.0,0.0,0.562,1.81,41.6,11.83,0.019,0.0,,,9.0,-1.1,,,,,,,,,,,0.224,-2.61,0.171,0.59,0.22,-5.17,,,,,,,14.0,0.0,,,14.2,0.0,0.22,1.85,,,,,,,,,0.034,0.59,16.8,-5.08,0.109,0.93,2.62,0.0,,,23.85,0.21,,,,,6.2,-6.06,2.14,0.0,2.7,0.0,0.594,0.0,,,0.75,-2.6,0.136,-0.73,,,,,,,,,,,,,,,8.25,-0.6,,,1.64,0.61,0.83,1.22,,,0.437,0.0,,,,,,,,,0.578,4.33,,,,,0.384,-1.54,1.26,0.0,0.0505,-14.41,0.12,0.42,,
Sector Financiar si Investitii,,,,,,,,,,,,,,,,,,,,,,,,,,,19.8,0.51,0.082,-0.97,,,43.3,1.88,,,,,,,,,,,,,,,,,,,84.0,0.48,416.2,0.77,,,,,,,,,,,,,,,1.565,0.0,0.4195,0.36,,,,,,,,,2.61,-0.38,2.83,0.0,1.64,-1.8,,,,,,,,,,,,,,,0.0985,-2.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.85,0.73,,,,,,,27.76,0.29,0.404,2.02,,,,,,,,,,,,,,,,
"Servicii, Tehnologie si Bunuri de Consum",,,,,,,,,1.436,0.42,,,0.628,0.64,,,,,2.65,-0.19,0.162,0.0,0.89,0.0,0.112,-2.18,,,,,2.58,0.0,,,2.02,-11.4,,,,,,,,,,,,,,,,,,,,,0.05,0.0,0.46,-4.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,2.34,,,,,,,,,,,,,,,,,,,,,,,,,0.778,0.52,,,,,0.174,-1.14,,,0.89,-0.22,38.65,0.0,51.3,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,4.85,-0.72,0.408,2.0,,,,,,,,,20.45,0.25
