Categorie,AAG_Pret,AAG_Var_Procent,ALR_Pret,ALR_Var_Procent,ALT_Pret,ALT_Var_Procent,ALU_Pret,ALU_Var_Procent,AQ_Pret,AQ_Var_Procent,ARM_Pret,ARM_Var_Procent,AROBS_Pret,AROBS_Var_Procent,ARS_Pret,ARS_Var_Procent,ARTE_Pret,ARTE_Var_Procent,ATB_Pret,ATB_Var_Procent,BCM_Pret,BCM_Var_Procent,BIO_Pret,BIO_Var_Procent,BNET_Pret,BNET_Var_Procent,BRD_Pret,BRD_Var_Procent,BRK_Pret,BRK_Var_Procent,BRM_Pret,BRM_Var_Procent,BVB_Pret,BVB_Var_Procent,CAOR_Pret,CAOR_Var_Procent,CBC_Pret,CBC_Var_Procent,CMCM_Pret,CMCM_Var_Procent,CMF_Pret,CMF_Var_Procent,CMP_Pret,CMP_Var_Procent,CNTE_Pret,CNTE_Var_Procent,COMI_Pret,COMI_Var_Procent,COTE_Pret,COTE_Var_Procent,CRC_Pret,CRC_Var_Procent,DIGI_Pret,DIGI_Var_Procent,EBS_Pret,EBS_Var_Procent,ECT_Pret,ECT_Var_Procent,EFO_Pret,EFO_Var_Procent,EL_Pret,EL_Var_Procent,ELGS_Pret,ELGS_Var_Procent,ELJ_Pret,ELJ_Var_Procent,ELMA_Pret,ELMA_Var_Procent,ENP_Pret,ENP_Var_Procent,EVER_Pret,EVER_Var_Procent,FP_Pret,FP_Var_Procent,GREEN_Pret,GREEN_Var_Procent,H2O_Pret,H2O_Var_Procent,IARV_Pret,IARV_Var_Procent,IMP_Pret,IMP_Var_Procent,INFINITY_Pret,INFINITY_Var_Procent,LION_Pret,LION_Var_Procent,LONG_Pret,LONG_Var_Procent,M_Pret,M_Var_Procent,MCAB_Pret,MCAB_Var_Procent,MECE_Pret,MECE_Var_Procent,MECF_Pret,MECF_Var_Procent,NAPO_Pret,NAPO_Var_Procent,OIL_Pret,OIL_Var_Procent,ONE_Pret,ONE_Var_Procent,PBK_Pret,PBK_Var_Procent,PE_Pret,PE_Var_Procent,PPL_Pret,PPL_Var_Procent,PREB_Pret,PREB_Var_Procent,PREH_Pret,PREH_Var_Procent,PTR_Pret,PTR_Var_Procent,RMAH_Pret,RMAH_Var_Procent,ROC1_Pret,ROC1_Var_Procent,ROCE_Pret,ROCE_Var_Procent,RPH_Pret,RPH_Var_Procent,RRC_Pret,RRC_Var_Procent,SAFE_Pret,SAFE_Var_Procent,SFG_Pret,SFG_Var_Procent,SMTL_Pret,SMTL_Var_Procent,SNG_Pret,SNG_Var_Procent,SNN_Pret,SNN_Var_Procent,SNO_Pret,SNO_Var_Procent,SNP_Pret,SNP_Var_Procent,SOCP_Pret,SOCP_Var_Procent,STZ_Pret,STZ_Var_Procent,TBK_Pret,TBK_Var_Procent,TBM_Pret,TBM_Var_Procent,TEL_Pret,TEL_Var_Procent,TGN_Pret,TGN_Var_Procent,TLV_Pret,TLV_Var_Procent,TRANSI_Pret,TRANSI_Var_Procent,TRP_Pret,TRP_Var_Procent,TTS_Pret,TTS_Var_Procent,TUFE_Pret,TUFE_Var_Procent,UAM_Pret,UAM_Var_Procent,UZT_Pret,UZT_Var_Procent,VESY_Pret,VESY_Var_Procent,VNC_Pret,VNC_Var_Procent,WINE_Pret,WINE_Var_Procent
Energie si Utilitati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.0,0.0,,,,,,,,,,,16.8,5.26,,,,,,,0.945,-0.53,,,,,,,123.2,0.16,,,,,,,,,,,,,,,,,,,,,0.1195,-0.42,,,,,20.9,0.97,,,,,,,,,,,,,,,,,0.07,0.0,,,,,,,7.24,2.26,44.6,1.83,,,0.7695,0.79,,,,,,,,,58.2,-0.85,36.0,0.0,,,,,,,,,,,,,,,,,,,,
"Industrie, Constructii si Materiale",5.6,1.45,1.76,0.86,0.0805,10.27,2.73,1.11,,,0.137,7.03,,,9.0,-1.1,13.1,-1.5,,,,,,,,,,,,,,,,,,,34.8,-0.57,0.306,-5.26,3.98,2.05,0.52,4.0,41.6,11.83,0.019,0.0,,,9.54,4.38,,,,,,,,,,,0.142,0.0,0.171,11.76,0.226,0.89,,,,,,,12.64,-2.77,,,14.0,0.0,0.204,4.62,,,,,,,,,0.0426,-0.93,16.7,0.0,0.109,0.0,2.62,-14.94,,,21.6,0.47,,,,,5.9,-0.84,2.13,-0.47,2.78,0.0,0.63,1.29,,,0.71,0.0,0.137,1.11,,,,,,,,,,,,,,,7.4,0.0,,,1.54,-0.32,0.805,0.63,,,0.435,1.4,,,,,,,,,0.557,5.09,,,,,0.4,3.63,1.26,0.0,0.0505,-14.41,0.116,0.43,,
Sector Financiar si Investitii,,,,,,,,,,,,,,,,,,,,,,,,,,,19.3,1.58,0.0848,0.95,,,38.0,0.53,,,,,,,,,,,,,,,,,,,80.7,2.93,380.6,1.22,,,,,,,,,,,,,,,1.51,0.67,0.3785,0.13,,,,,,,,,2.48,-1.2,2.74,-2.14,1.69,0.0,,,,,,,,,,,,,,,0.0825,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.4,0.0,,,,,,,32.26,-0.25,0.375,0.0,,,,,,,,,,,,,,,,
"Servicii, Tehnologie si Bunuri de Consum",,,,,,,,,1.428,1.28,,,0.66,5.6,,,,,2.45,0.41,0.161,0.63,0.89,0.45,0.13,1.56,,,,,2.6,0.0,,,2.08,0.0,,,,,,,,,,,,,,,,,,,,,0.0515,0.0,0.448,-1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9,1.02,,,,,,,,,,,,,,,,,,,,,,,,,0.75,0.81,,,,,0.168,1.82,,,0.838,0.72,38.6,0.65,50.9,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,5.24,10.2,0.432,7.46,,,,,,,,,20.7,-0.48
