Categorie,AAG_Pret,AAG_Var_Procent,ALR_Pret,ALR_Var_Procent,ALT_Pret,ALT_Var_Procent,ALU_Pret,ALU_Var_Procent,AQ_Pret,AQ_Var_Procent,ARM_Pret,ARM_Var_Procent,AROBS_Pret,AROBS_Var_Procent,ARS_Pret,ARS_Var_Procent,ARTE_Pret,ARTE_Var_Procent,ATB_Pret,ATB_Var_Procent,BCM_Pret,BCM_Var_Procent,BIO_Pret,BIO_Var_Procent,BNET_Pret,BNET_Var_Procent,BRD_Pret,BRD_Var_Procent,BRK_Pret,BRK_Var_Procent,BRM_Pret,BRM_Var_Procent,BVB_Pret,BVB_Var_Procent,CAOR_Pret,CAOR_Var_Procent,CBC_Pret,CBC_Var_Procent,CMCM_Pret,CMCM_Var_Procent,CMF_Pret,CMF_Var_Procent,CMP_Pret,CMP_Var_Procent,CNTE_Pret,CNTE_Var_Procent,COMI_Pret,COMI_Var_Procent,COTE_Pret,COTE_Var_Procent,CRC_Pret,CRC_Var_Procent,DIGI_Pret,DIGI_Var_Procent,EBS_Pret,EBS_Var_Procent,ECT_Pret,ECT_Var_Procent,EFO_Pret,EFO_Var_Procent,EL_Pret,EL_Var_Procent,ELGS_Pret,ELGS_Var_Procent,ELJ_Pret,ELJ_Var_Procent,ELMA_Pret,ELMA_Var_Procent,ENP_Pret,ENP_Var_Procent,EVER_Pret,EVER_Var_Procent,FP_Pret,FP_Var_Procent,GREEN_Pret,GREEN_Var_Procent,H2O_Pret,H2O_Var_Procent,IARV_Pret,IARV_Var_Procent,IMP_Pret,IMP_Var_Procent,INFINITY_Pret,INFINITY_Var_Procent,LION_Pret,LION_Var_Procent,LONG_Pret,LONG_Var_Procent,M_Pret,M_Var_Procent,MCAB_Pret,MCAB_Var_Procent,MECE_Pret,MECE_Var_Procent,MECF_Pret,MECF_Var_Procent,NAPO_Pret,NAPO_Var_Procent,OIL_Pret,OIL_Var_Procent,ONE_Pret,ONE_Var_Procent,PBK_Pret,PBK_Var_Procent,PE_Pret,PE_Var_Procent,PPL_Pret,PPL_Var_Procent,PREB_Pret,PREB_Var_Procent,PREH_Pret,PREH_Var_Procent,PTR_Pret,PTR_Var_Procent,RMAH_Pret,RMAH_Var_Procent,ROC1_Pret,ROC1_Var_Procent,ROCE_Pret,ROCE_Var_Procent,RPH_Pret,RPH_Var_Procent,RRC_Pret,RRC_Var_Procent,SAFE_Pret,SAFE_Var_Procent,SFG_Pret,SFG_Var_Procent,SMTL_Pret,SMTL_Var_Procent,SNG_Pret,SNG_Var_Procent,SNN_Pret,SNN_Var_Procent,SNO_Pret,SNO_Var_Procent,SNP_Pret,SNP_Var_Procent,SOCP_Pret,SOCP_Var_Procent,STZ_Pret,STZ_Var_Procent,TBK_Pret,TBK_Var_Procent,TBM_Pret,TBM_Var_Procent,TEL_Pret,TEL_Var_Procent,TGN_Pret,TGN_Var_Procent,TLV_Pret,TLV_Var_Procent,TRANSI_Pret,TRANSI_Var_Procent,TRP_Pret,TRP_Var_Procent,TTS_Pret,TTS_Var_Procent,TUFE_Pret,TUFE_Var_Procent,UAM_Pret,UAM_Var_Procent,UZT_Pret,UZT_Var_Procent,VESY_Pret,VESY_Var_Procent,VNC_Pret,VNC_Var_Procent,WINE_Pret,WINE_Var_Procent
Energie si Utilitati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.4,-0.5,,,,,,,,,,,17.8,-0.56,,,,,,,0.945,-0.53,,,,,,,123.9,0.24,,,,,,,,,,,,,,,,,,,,,0.119,1.71,,,,,20.75,0.97,,,,,,,,,,,,,,,,,0.0698,0.0,,,,,,,7.99,0.5,45.7,0.0,,,0.785,-0.57,,,,,,,,,59.8,0.0,41.8,0.36,,,,,,,,,,,,,,,,,,,,
"Industrie, Constructii si Materiale",5.52,-0.36,1.71,1.18,0.0805,0.0,2.63,-1.13,,,0.125,-14.38,,,8.88,-1.33,12.2,-3.17,,,,,,,,,,,,,,,,,,,35.4,1.14,0.322,0.0,4.0,3.63,0.554,-1.42,41.6,11.83,0.019,0.0,,,8.96,-1.54,,,,,,,,,,,0.23,15.0,0.17,0.59,0.226,-2.59,,,,,,,14.1,11.2,,,14.15,0.35,0.22,1.85,,,,,,,,,0.0336,0.0,16.8,-5.08,0.109,0.93,2.62,-14.94,,,23.3,0.87,,,,,6.2,-6.06,2.15,1.42,2.7,0.0,0.6,1.01,,,0.74,0.0,0.1365,-0.36,,,,,,,,,,,,,,,8.6,0.0,,,1.65,0.0,0.83,-0.6,,,0.434,0.0,,,,,,,,,0.539,0.19,,,,,0.384,-1.54,1.26,0.0,0.0505,-14.41,0.1165,-2.92,,
Sector Financiar si Investitii,,,,,,,,,,,,,,,,,,,,,,,,,,,19.7,-0.3,0.0828,1.22,,,42.8,-0.23,,,,,,,,,,,,,,,,,,,86.3,2.25,407.8,1.49,,,,,,,,,,,,,,,1.525,-0.33,0.4165,0.48,,,,,,,,,2.61,0.0,2.82,0.71,1.625,-1.52,,,,,,,,,,,,,,,0.099,-1.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.85,0.73,,,,,,,27.68,0.73,0.398,1.79,,,,,,,,,,,,,,,,
"Servicii, Tehnologie si Bunuri de Consum",,,,,,,,,1.43,0.14,,,0.619,-0.48,,,,,2.66,0.38,0.16,4.58,0.888,1.83,0.1125,-1.32,,,,,2.58,3.2,,,2.16,2.86,,,,,,,,,,,,,,,,,,,,,0.05,0.0,0.48,-1.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.35,6.64,,,,,,,,,,,,,,,,,,,,,,,,,0.782,1.03,,,,,0.176,3.53,,,0.872,0.0,38.85,0.78,50.8,-0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,4.84,-1.33,0.408,2.0,,,,,,,,,20.45,-1.21
