Categorie,AAG_Pret,AAG_Var_Procent,ALR_Pret,ALR_Var_Procent,ALT_Pret,ALT_Var_Procent,ALU_Pret,ALU_Var_Procent,AQ_Pret,AQ_Var_Procent,ARM_Pret,ARM_Var_Procent,AROBS_Pret,AROBS_Var_Procent,ARS_Pret,ARS_Var_Procent,ARTE_Pret,ARTE_Var_Procent,ATB_Pret,ATB_Var_Procent,BCM_Pret,BCM_Var_Procent,BIO_Pret,BIO_Var_Procent,BNET_Pret,BNET_Var_Procent,BRD_Pret,BRD_Var_Procent,BRK_Pret,BRK_Var_Procent,BRM_Pret,BRM_Var_Procent,BVB_Pret,BVB_Var_Procent,CAOR_Pret,CAOR_Var_Procent,CBC_Pret,CBC_Var_Procent,CMCM_Pret,CMCM_Var_Procent,CMF_Pret,CMF_Var_Procent,CMP_Pret,CMP_Var_Procent,CNTE_Pret,CNTE_Var_Procent,COMI_Pret,COMI_Var_Procent,COTE_Pret,COTE_Var_Procent,CRC_Pret,CRC_Var_Procent,DIGI_Pret,DIGI_Var_Procent,EBS_Pret,EBS_Var_Procent,ECT_Pret,ECT_Var_Procent,EFO_Pret,EFO_Var_Procent,EL_Pret,EL_Var_Procent,ELGS_Pret,ELGS_Var_Procent,ELJ_Pret,ELJ_Var_Procent,ELMA_Pret,ELMA_Var_Procent,ENP_Pret,ENP_Var_Procent,EVER_Pret,EVER_Var_Procent,FP_Pret,FP_Var_Procent,GREEN_Pret,GREEN_Var_Procent,H2O_Pret,H2O_Var_Procent,IARV_Pret,IARV_Var_Procent,IMP_Pret,IMP_Var_Procent,INFINITY_Pret,INFINITY_Var_Procent,LION_Pret,LION_Var_Procent,LONG_Pret,LONG_Var_Procent,M_Pret,M_Var_Procent,MCAB_Pret,MCAB_Var_Procent,MECE_Pret,MECE_Var_Procent,MECF_Pret,MECF_Var_Procent,NAPO_Pret,NAPO_Var_Procent,OIL_Pret,OIL_Var_Procent,ONE_Pret,ONE_Var_Procent,PBK_Pret,PBK_Var_Procent,PE_Pret,PE_Var_Procent,PPL_Pret,PPL_Var_Procent,PREB_Pret,PREB_Var_Procent,PREH_Pret,PREH_Var_Procent,PTR_Pret,PTR_Var_Procent,RMAH_Pret,RMAH_Var_Procent,ROC1_Pret,ROC1_Var_Procent,ROCE_Pret,ROCE_Var_Procent,RPH_Pret,RPH_Var_Procent,RRC_Pret,RRC_Var_Procent,SAFE_Pret,SAFE_Var_Procent,SFG_Pret,SFG_Var_Procent,SMTL_Pret,SMTL_Var_Procent,SNG_Pret,SNG_Var_Procent,SNN_Pret,SNN_Var_Procent,SNO_Pret,SNO_Var_Procent,SNP_Pret,SNP_Var_Procent,SOCP_Pret,SOCP_Var_Procent,STZ_Pret,STZ_Var_Procent,TBK_Pret,TBK_Var_Procent,TBM_Pret,TBM_Var_Procent,TEL_Pret,TEL_Var_Procent,TGN_Pret,TGN_Var_Procent,TLV_Pret,TLV_Var_Procent,TRANSI_Pret,TRANSI_Var_Procent,TRP_Pret,TRP_Var_Procent,TTS_Pret,TTS_Var_Procent,TUFE_Pret,TUFE_Var_Procent,UAM_Pret,UAM_Var_Procent,UZT_Pret,UZT_Var_Procent,VESY_Pret,VESY_Var_Procent,VNC_Pret,VNC_Var_Procent,WINE_Pret,WINE_Var_Procent
Energie si Utilitati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.6,-0.51,,,,,,,,,,,16.76,-0.12,,,,,,,0.945,-0.53,,,,,,,122.8,-0.24,,,,,,,,,,,,,,,,,,,,,0.1195,0.0,,,,,20.9,0.0,,,,,,,,,,,,,,,,,0.07,0.0,,,,,,,7.45,2.05,44.75,0.56,,,0.7705,0.2,,,,,,,,,58.2,-0.17,37.9,5.28,,,,,,,,,,,,,,,,,,,,
"Industrie, Constructii si Materiale",5.6,0.0,1.745,-1.13,0.08,9.59,2.72,0.0,,,0.14,2.19,,,9.08,-0.44,12.3,-6.11,,,,,,,,,,,,,,,,,,,34.8,0.0,0.323,5.56,4.0,0.5,0.566,6.79,41.6,11.83,0.019,0.0,,,9.22,-3.35,,,,,,,,,,,0.137,-3.52,0.171,0.0,0.22,-2.65,,,,,,,12.68,0.32,,,14.1,0.36,0.216,4.35,,,,,,,,,0.0418,-1.88,16.9,1.2,0.109,0.0,2.62,-14.94,,,21.7,0.7,,,,,5.65,-4.24,2.11,-0.94,2.78,0.0,0.624,-0.95,,,0.77,8.45,0.1375,0.0,,,,,,,,,,,,,,,7.4,0.0,,,1.54,0.0,0.81,0.0,,,0.437,-0.46,,,,,,,,,0.553,0.18,,,,,0.384,-4.0,1.26,0.0,0.0505,-14.41,0.1155,-0.43,,
Sector Financiar si Investitii,,,,,,,,,,,,,,,,,,,,,,,,,,,19.36,0.31,0.0832,-1.89,,,38.1,0.53,,,,,,,,,,,,,,,,,,,81.4,0.87,381.6,0.26,,,,,,,,,,,,,,,1.51,0.0,0.378,-0.13,,,,,,,,,2.52,1.2,2.74,0.0,1.69,-0.59,,,,,,,,,,,,,,,0.0835,1.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,-2.78,,,,,,,28.2,3.83,0.373,-0.53,,,,,,,,,,,,,,,,
"Servicii, Tehnologie si Bunuri de Consum",,,,,,,,,1.434,0.42,,,0.659,-0.15,,,,,2.465,-0.2,0.16,-0.62,0.878,-2.01,0.129,-0.77,,,,,2.6,0.0,,,2.08,0.0,,,,,,,,,,,,,,,,,,,,,0.0515,0.0,0.438,-2.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.99,1.01,,,,,,,,,,,,,,,,,,,,,,,,,0.74,-1.33,,,,,0.167,-0.6,,,0.842,-0.47,38.4,-0.52,51.5,2.39,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2,0.97,0.432,0.0,,,,,,,,,20.8,0.24
