Categorie,AAG_Pret,AAG_Var_Procent,ALR_Pret,ALR_Var_Procent,ALT_Pret,ALT_Var_Procent,ALU_Pret,ALU_Var_Procent,AQ_Pret,AQ_Var_Procent,ARM_Pret,ARM_Var_Procent,AROBS_Pret,AROBS_Var_Procent,ARS_Pret,ARS_Var_Procent,ARTE_Pret,ARTE_Var_Procent,ATB_Pret,ATB_Var_Procent,BCM_Pret,BCM_Var_Procent,BIO_Pret,BIO_Var_Procent,BNET_Pret,BNET_Var_Procent,BRD_Pret,BRD_Var_Procent,BRK_Pret,BRK_Var_Procent,BRM_Pret,BRM_Var_Procent,BVB_Pret,BVB_Var_Procent,CAOR_Pret,CAOR_Var_Procent,CBC_Pret,CBC_Var_Procent,CMCM_Pret,CMCM_Var_Procent,CMF_Pret,CMF_Var_Procent,CMP_Pret,CMP_Var_Procent,CNTE_Pret,CNTE_Var_Procent,COMI_Pret,COMI_Var_Procent,COTE_Pret,COTE_Var_Procent,CRC_Pret,CRC_Var_Procent,DIGI_Pret,DIGI_Var_Procent,EBS_Pret,EBS_Var_Procent,ECT_Pret,ECT_Var_Procent,EFO_Pret,EFO_Var_Procent,EL_Pret,EL_Var_Procent,ELGS_Pret,ELGS_Var_Procent,ELJ_Pret,ELJ_Var_Procent,ELMA_Pret,ELMA_Var_Procent,ENP_Pret,ENP_Var_Procent,EVER_Pret,EVER_Var_Procent,FP_Pret,FP_Var_Procent,GREEN_Pret,GREEN_Var_Procent,H2O_Pret,H2O_Var_Procent,IARV_Pret,IARV_Var_Procent,IMP_Pret,IMP_Var_Procent,INFINITY_Pret,INFINITY_Var_Procent,LION_Pret,LION_Var_Procent,LONG_Pret,LONG_Var_Procent,M_Pret,M_Var_Procent,MCAB_Pret,MCAB_Var_Procent,MECE_Pret,MECE_Var_Procent,MECF_Pret,MECF_Var_Procent,NAPO_Pret,NAPO_Var_Procent,OIL_Pret,OIL_Var_Procent,ONE_Pret,ONE_Var_Procent,PBK_Pret,PBK_Var_Procent,PE_Pret,PE_Var_Procent,PPL_Pret,PPL_Var_Procent,PREB_Pret,PREB_Var_Procent,PREH_Pret,PREH_Var_Procent,PTR_Pret,PTR_Var_Procent,RMAH_Pret,RMAH_Var_Procent,ROC1_Pret,ROC1_Var_Procent,ROCE_Pret,ROCE_Var_Procent,RPH_Pret,RPH_Var_Procent,RRC_Pret,RRC_Var_Procent,SAFE_Pret,SAFE_Var_Procent,SFG_Pret,SFG_Var_Procent,SMTL_Pret,SMTL_Var_Procent,SNG_Pret,SNG_Var_Procent,SNN_Pret,SNN_Var_Procent,SNO_Pret,SNO_Var_Procent,SNP_Pret,SNP_Var_Procent,SOCP_Pret,SOCP_Var_Procent,STZ_Pret,STZ_Var_Procent,TBK_Pret,TBK_Var_Procent,TBM_Pret,TBM_Var_Procent,TEL_Pret,TEL_Var_Procent,TGN_Pret,TGN_Var_Procent,TLV_Pret,TLV_Var_Procent,TRANSI_Pret,TRANSI_Var_Procent,TRP_Pret,TRP_Var_Procent,TTS_Pret,TTS_Var_Procent,TUFE_Pret,TUFE_Var_Procent,UAM_Pret,UAM_Var_Procent,UZT_Pret,UZT_Var_Procent,VESY_Pret,VESY_Var_Procent,VNC_Pret,VNC_Var_Procent,WINE_Pret,WINE_Var_Procent
Energie si Utilitati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.8,-0.25,,,,,,,,,,,16.86,5.64,,,,,,,0.945,-0.53,,,,,,,122.6,-0.33,,,,,,,,,,,,,,,,,,,,,0.1195,-0.42,,,,,20.7,0.0,,,,,,,,,,,,,,,,,0.07,0.0,,,,,,,7.14,0.85,44.65,1.94,,,0.77,0.85,,,,,,,,,58.4,-0.51,36.0,0.0,,,,,,,,,,,,,,,,,,,,
"Industrie, Constructii si Materiale",5.6,1.45,1.75,0.29,0.0755,3.42,2.71,0.37,,,0.128,-0.78,,,9.1,0.0,13.2,-0.75,,,,,,,,,,,,,,,,,,,34.8,-0.57,0.323,5.21,3.98,2.05,0.516,3.2,41.6,11.83,0.0185,-2.63,,,9.74,6.56,,,,,,,,,,,0.142,0.0,0.17,11.11,0.228,1.79,,,,,,,13.0,-7.01,,,14.0,0.0,0.195,0.0,,,,,,,,,0.0424,-1.4,16.7,0.0,0.109,0.0,2.62,-14.94,,,21.6,0.47,,,,,5.9,-0.84,2.14,0.94,2.78,-0.71,0.628,0.96,,,0.69,-2.82,0.1365,0.74,,,,,,,,,,,,,,,7.4,0.0,,,1.505,-2.59,0.8,0.0,,,0.433,0.93,,,,,,,,,0.551,3.96,,,,,0.4,3.63,1.26,0.0,0.0505,-14.41,0.116,0.43,,
Sector Financiar si Investitii,,,,,,,,,,,,,,,,,,,,,,,,,,,19.2,1.05,0.0844,0.48,,,38.0,0.53,,,,,,,,,,,,,,,,,,,80.3,2.42,380.0,1.06,,,,,,,,,,,,,,,1.49,-0.67,0.378,0.0,,,,,,,,,2.51,0.0,2.7,-3.57,1.64,-2.96,,,,,,,,,,,,,,,0.0825,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.4,0.0,,,,,,,32.24,-0.31,0.373,-0.53,,,,,,,,,,,,,,,,
"Servicii, Tehnologie si Bunuri de Consum",,,,,,,,,1.414,0.28,,,0.65,4.0,,,,,2.455,0.61,0.161,0.63,0.888,0.23,0.1275,-0.39,,,,,2.5,-3.85,,,2.08,0.0,,,,,,,,,,,,,,,,,,,,,0.0515,-0.96,0.424,-7.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.88,0.73,,,,,,,,,,,,,,,,,,,,,,,,,0.748,0.54,,,,,0.164,-0.61,,,0.84,0.96,38.2,-0.39,51.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,11.46,0.402,-2.43,,,,,,,,,20.75,-0.24
